quarter,catchment,clinic_name,total_waiting,total_waiting_adjusted,backlog,proportional_backlog
2025-01-01,Central Queensland,CAPRICORN COAST DENTAL,1374,1374.00,0.00,0.0000
2025-01-01,Central Queensland,BILOELA DENTAL CLINIC,356,356.00,0.00,0.0000
2025-01-01,Central Queensland,GLADSTONE DENTAL CLINIC,2395,2395.00,0.00,0.0000
2025-01-01,Central West,CENTRAL WEST DENTAL CLINICS,1162,1162.50,0.50,0.0004
2025-01-01,Darling Downs,GOONDIWINDI DENTAL CLINIC,132,132.00,0.00,0.0000
2025-01-01,Darling Downs,STANTHORPE DENTAL CLINIC,831,831.00,0.00,0.0000
2025-01-01,Darling Downs,WARWICK DENTAL CLINIC,892,892.00,0.00,0.0000
2025-01-01,Darling Downs,TOOWOOMBA DENTAL CLINIC,4867,4867.00,0.00,0.0000
2025-01-01,Darling Downs,KINGAROY DENTAL CLINIC,2327,2327.00,0.00,0.0000
2025-01-01,Darling Downs,DALBY DENTAL CLINIC,737,737.00,0.00,0.0000
2025-01-01,Darling Downs,INGLEWOOD DENTAL CLINIC,107,107.00,0.00,0.0000
2025-01-01,Darling Downs,MILES DENTAL CLINIC,453,453.00,0.00,0.0000
2025-01-01,Gold Coast,ROBINA DENTAL CLINIC,1446,1446.00,0.00,0.0000
2025-01-01,Gold Coast,PALM BEACH DENTAL CLINIC,779,779.00,0.00,0.0000
2025-01-01,Gold Coast,GCUH DENTAL CLINIC,156,156.00,0.00,0.0000
2025-01-01,Gold Coast,GC SOUTHPORT HEALTH PREC,8006,8006.00,0.00,0.0000
2025-01-01,Mackay,MACKAY DENTAL CLINIC,4512,4512.00,0.00,0.0000
2025-01-01,Mackay,PROSERPINE DENTAL,1061,1061.00,0.00,0.0000
2025-01-01,Mackay,BOWEN DENTAL CLINIC,870,870.00,0.00,0.0000
2025-01-01,Mackay,CLERMONT DENTAL CLINIC,24,24.00,0.00,0.0000
2025-01-01,Mackay,COLLINSVILLE DENTAL CLINI,39,39.00,0.00,0.0000
2025-01-01,Metro North,SANDGATE DENTAL CLINIC,1752,1752.00,0.00,0.0000
2025-01-01,Metro North,CABOOLTURE DENTAL CLINIC,6342,6342.00,0.00,0.0000
2025-01-01,Metro North,ORAL HEALTH CENTRE,3469,3469.00,0.00,0.0000
2025-01-01,Metro North,KALLANGUR SATELLITE CLINI,3259,3259.00,0.00,0.0000
2025-01-01,Metro North,REDCLIFFE DENTAL CLINIC,3416,3416.00,0.00,0.0000
2025-01-01,Metro North,STAFFORD DENTAL CLINIC,2931,2931.00,0.00,0.0000
2025-01-01,Metro South,BEENLEIGH BEAUDESERT CLUS,10192,10192.00,0.00,0.0000
2025-01-01,Metro South,NATHAN INALA CLUSTER,6164,6164.00,0.00,0.0000
2025-01-01,Metro South,BAYSIDE CLUSTER,5707,5707.00,0.00,0.0000
2025-01-01,Metro South,MS INNER BRISBANE CLUSTER,5138,5138.00,0.00,0.0000
2025-01-01,Metro South,KINGSTON LOGAN CLUSTER,5839,5839.00,0.00,0.0000
2025-01-01,North West,MT ISA DENTAL CLINIC,363,363.00,0.00,0.0000
2025-01-01,North West,MORNINGTON ISLAND DENTAL,129,129.00,0.00,0.0000
2025-01-01,South West,ST GEORGE DENTAL CLINIC,68,68.00,0.00,0.0000
2025-01-01,South West,MITCHELL DENTAL CLINIC,73,73.00,0.00,0.0000
2025-01-01,South West,MUNGINDI DENTAL CLINIC,19,19.00,0.00,0.0000
2025-01-01,South West,CUNNAMULLA DENTAL CLINIC,98,98.00,0.00,0.0000
2025-01-01,South West,DIRRANBANDI DENTAL CLINIC,16,16.00,0.00,0.0000
2025-01-01,South West,CHARLEVILLE DENTAL CLINIC,298,298.00,0.00,0.0000
2025-01-01,South West,INJUNE DENTAL CLINIC,18,18.00,0.00,0.0000
2025-01-01,South West,QUILPIE DENTAL CLINIC,27,27.00,0.00,0.0000
2025-01-01,South West,ROMA HOSPITAL DENTAL CLIN,571,571.00,0.00,0.0000
2025-01-01,South West,SURAT DENTAL CLINIC,27,27.00,0.00,0.0000
2025-01-01,South West,THARGOMINDAH DENTAL SERVI,15,15.00,0.00,0.0000
2025-01-01,Sunshine Coast,NAMBOUR DENTAL CLINIC,1770,1770.00,0.00,0.0000
2025-01-01,Sunshine Coast,GYMPIE DENTAL CLINIC,2242,2242.00,0.00,0.0000
2025-01-01,Sunshine Coast,CALOUNDRA DENTAL CLINIC,3198,3198.00,0.00,0.0000
2025-01-01,Sunshine Coast,NOOSA DENTAL CLINIC,1624,1624.00,0.00,0.0000
2025-01-01,Sunshine Coast,KAWANA DENTAL CLINIC,2875,2875.00,0.00,0.0000
2025-01-01,Sunshine Coast,SCUH DENTAL CLINIC,0,0.00,0.00,0
2025-01-01,Torres and Cape,CAPE YORK DENTAL CLINIC,519,578.25,59.25,0.1025
2025-01-01,Torres and Cape,TORRES STRAIT DENTAL CLINIC,304,357.00,53.00,0.1485
2025-01-01,Townsville,HUGHENDEN DENTAL CLINIC,19,19.00,0.00,0.0000
2025-01-01,Townsville,INGHAM DENTAL CLINIC,372,372.00,0.00,0.0000
2025-01-01,Townsville,CHARTERS TOWERS DENTAL CL,181,181.00,0.00,0.0000
2025-01-01,Townsville,TOWNSVILLE DENTAL CLINIC,2602,2602.00,0.00,0.0000
2025-01-01,Townsville,RICHMOND DENTAL CLINIC,6,6.00,0.00,0.0000
2025-01-01,Townsville,AYR DENTAL CLINIC,297,297.00,0.00,0.0000
2025-01-01,West Moreton,BOONAH DENTAL CLINIC,346,348.00,2.00,0.0057
2025-01-01,West Moreton,GATTON DENTAL CLINIC,7,7.00,0.00,0.0000
2025-01-01,West Moreton,LAIDLEY DENTAL CLINIC,1565,1581.50,16.50,0.0104
2025-01-01,West Moreton,COLLINGWOOD PARK DENTAL C,1231,1236.00,5.00,0.0040
2025-01-01,West Moreton,IPSWICH DENTAL CLINIC,6452,6519.25,67.25,0.0103
2025-01-01,West Moreton,ESK DENTAL CLINIC,352,355.25,3.25,0.0091
2025-01-01,Wide Bay,MARYBOROUGH DENTAL CLINIC,2503,2503.00,0.00,0.0000
2025-01-01,Wide Bay,BUNDABERG DENTAL CLINIC,3650,3650.00,0.00,0.0000
2025-01-01,Wide Bay,MONTO DENTAL CLINIC,61,61.00,0.00,0.0000
2025-01-01,Wide Bay,MUNDUBBERA DENTAL CLINIC,134,134.00,0.00,0.0000
2025-01-01,Wide Bay,GAYNDAH DENTAL CLINIC,360,360.00,0.00,0.0000
2025-01-01,Wide Bay,CHILDERS DENTAL CLINIC,266,266.00,0.00,0.0000
2025-01-01,Wide Bay,HERVEY BAY DENTAL CLINIC,4662,4662.00,0.00,0.0000
2025-04-01,Cairns and Hinterland,CAIRNS NTH DENTAL CLINIC,3363,3363.00,0.00,0.0000
2025-04-01,Cairns and Hinterland,YARRABAH DENTAL CLINIC,0,0.00,0.00,0
2025-04-01,Cairns and Hinterland,INNISFAIL DENTAL CLINIC,1058,1058.00,0.00,0.0000
2025-04-01,Cairns and Hinterland,MAREEBA DENTAL CLINIC,1106,1106.00,0.00,0.0000
2025-04-01,Cairns and Hinterland,ATHERTON DENTAL CLINIC,968,968.00,0.00,0.0000
2025-04-01,Cairns and Hinterland,MOSSMAN DENTAL CLINIC,519,519.00,0.00,0.0000
2025-04-01,Cairns and Hinterland,GEORGETOWN DENTAL CLINIC,0,0.00,0.00,0
2025-04-01,Cairns and Hinterland,EDMONTON DENTAL CLINIC,1408,1408.00,0.00,0.0000
2025-04-01,Cairns and Hinterland,SMITHFIELD DENTAL CLINIC,957,957.00,0.00,0.0000
2025-04-01,Cairns and Hinterland,TULLY DENTAL CLINIC,679,679.00,0.00,0.0000
2025-04-01,Cairns and Hinterland,CROYDON DENTAL CLINIC,0,0.00,0.00,0
2025-04-01,Central Queensland,ROCKHAMPTON DENTAL CLINIC,3685,3685.00,0.00,0.0000
2025-04-01,Central Queensland,MT MORGAN DENTAL CLINIC,140,140.00,0.00,0.0000
2025-04-01,Central Queensland,GLADSTONE DENTAL CLINIC,2523,2523.00,0.00,0.0000
2025-04-01,Central Queensland,CAPRICORN COAST DENTAL,1396,1396.00,0.00,0.0000
2025-04-01,Central Queensland,BILOELA DENTAL CLINIC,293,293.00,0.00,0.0000
2025-04-01,Central Queensland,EMERALD DENTAL CLINIC,495,495.00,0.00,0.0000
2025-04-01,Central West,CENTRAL WEST DENTAL CLINICS,1157,1157.00,0.00,0.0000
2025-04-01,Darling Downs,TOOWOOMBA DENTAL CLINIC,4864,4864.00,0.00,0.0000
2025-04-01,Darling Downs,KINGAROY DENTAL CLINIC,2416,2416.00,0.00,0.0000
2025-04-01,Darling Downs,INGLEWOOD DENTAL CLINIC,119,119.00,0.00,0.0000
2025-04-01,Darling Downs,GOONDIWINDI DENTAL CLINIC,200,200.00,0.00,0.0000
2025-04-01,Darling Downs,MILES DENTAL CLINIC,487,487.00,0.00,0.0000
2025-04-01,Darling Downs,DALBY DENTAL CLINIC,774,774.00,0.00,0.0000
2025-04-01,Darling Downs,WARWICK DENTAL CLINIC,948,948.00,0.00,0.0000
2025-04-01,Darling Downs,STANTHORPE DENTAL CLINIC,854,854.00,0.00,0.0000
2025-04-01,Gold Coast,PALM BEACH DENTAL CLINIC,930,930.00,0.00,0.0000
2025-04-01,Gold Coast,ROBINA DENTAL CLINIC,1446,1446.00,0.00,0.0000
2025-04-01,Gold Coast,GCUH DENTAL CLINIC,164,164.00,0.00,0.0000
2025-04-01,Gold Coast,GC SOUTHPORT HEALTH PREC,7112,7112.25,0.25,0.0000
2025-04-01,Mackay,PROSERPINE DENTAL,1084,1084.00,0.00,0.0000
2025-04-01,Mackay,COLLINSVILLE DENTAL CLINI,37,37.00,0.00,0.0000
2025-04-01,Mackay,MACKAY DENTAL CLINIC,4677,4677.00,0.00,0.0000
2025-04-01,Mackay,BOWEN DENTAL CLINIC,938,938.00,0.00,0.0000
2025-04-01,Mackay,CLERMONT DENTAL CLINIC,35,35.00,0.00,0.0000
2025-04-01,Metro North,CABOOLTURE DENTAL CLINIC,6860,6860.00,0.00,0.0000
2025-04-01,Metro North,KALLANGUR SATELLITE CLINI,3457,3457.00,0.00,0.0000
2025-04-01,Metro North,ORAL HEALTH CENTRE,3822,3822.00,0.00,0.0000
2025-04-01,Metro North,SANDGATE DENTAL CLINIC,1812,1812.00,0.00,0.0000
2025-04-01,Metro North,REDCLIFFE DENTAL CLINIC,3607,3607.00,0.00,0.0000
2025-04-01,Metro North,STAFFORD DENTAL CLINIC,3169,3169.00,0.00,0.0000
2025-04-01,Metro South,MS INNER BRISBANE CLUSTER,5674,5674.00,0.00,0.0000
2025-04-01,Metro South,BEENLEIGH BEAUDESERT CLUS,11339,11339.25,0.25,0.0000
2025-04-01,Metro South,NATHAN INALA CLUSTER,6817,6817.00,0.00,0.0000
2025-04-01,Metro South,KINGSTON LOGAN CLUSTER,6499,6499.00,0.00,0.0000
2025-04-01,Metro South,BAYSIDE CLUSTER,6248,6248.25,0.25,0.0000
2025-04-01,North West,MT ISA DENTAL CLINIC,462,462.25,0.25,0.0005
2025-04-01,North West,MORNINGTON ISLAND DENTAL,148,148.00,0.00,0.0000
2025-04-01,South West,MUNGINDI DENTAL CLINIC,21,21.00,0.00,0.0000
2025-04-01,South West,MITCHELL DENTAL CLINIC,81,81.00,0.00,0.0000
2025-04-01,South West,CUNNAMULLA DENTAL CLINIC,116,116.00,0.00,0.0000
2025-04-01,South West,CHARLEVILLE DENTAL CLINIC,315,315.00,0.00,0.0000
2025-04-01,South West,DIRRANBANDI DENTAL CLINIC,17,17.00,0.00,0.0000
2025-04-01,South West,INJUNE DENTAL CLINIC,12,12.00,0.00,0.0000
2025-04-01,South West,QUILPIE DENTAL CLINIC,29,29.00,0.00,0.0000
2025-04-01,South West,ROMA HOSPITAL DENTAL CLIN,574,574.00,0.00,0.0000
2025-04-01,South West,ST GEORGE DENTAL CLINIC,81,81.00,0.00,0.0000
2025-04-01,South West,SURAT DENTAL CLINIC,13,13.00,0.00,0.0000
2025-04-01,South West,THARGOMINDAH DENTAL SERVI,16,16.00,0.00,0.0000
2025-04-01,Sunshine Coast,KAWANA DENTAL CLINIC,2919,2919.25,0.25,0.0001
2025-04-01,Sunshine Coast,NAMBOUR DENTAL CLINIC,1774,1774.25,0.25,0.0001
2025-04-01,Sunshine Coast,SCUH DENTAL CLINIC,0,0.00,0.00,0
2025-04-01,Sunshine Coast,CALOUNDRA DENTAL CLINIC,3426,3426.50,0.50,0.0001
2025-04-01,Sunshine Coast,NOOSA DENTAL CLINIC,1625,1625.00,0.00,0.0000
2025-04-01,Sunshine Coast,GYMPIE DENTAL CLINIC,2360,2360.50,0.50,0.0002
2025-04-01,Torres and Cape,TORRES STRAIT DENTAL CLINIC,255,292.50,37.50,0.1282
2025-04-01,Torres and Cape,CAPE YORK DENTAL CLINIC,471,518.50,47.50,0.0916
2025-04-01,Townsville,RICHMOND DENTAL CLINIC,6,6.00,0.00,0.0000
2025-04-01,Townsville,INGHAM DENTAL CLINIC,381,381.00,0.00,0.0000
2025-04-01,Townsville,AYR DENTAL CLINIC,296,296.00,0.00,0.0000
2025-04-01,Townsville,TOWNSVILLE DENTAL CLINIC,2835,2835.00,0.00,0.0000
2025-04-01,Townsville,HUGHENDEN DENTAL CLINIC,20,20.00,0.00,0.0000
2025-04-01,Townsville,CHARTERS TOWERS DENTAL CL,174,174.00,0.00,0.0000
2025-04-01,West Moreton,COLLINGWOOD PARK DENTAL C,1449,1465.50,16.50,0.0113
2025-04-01,West Moreton,LAIDLEY DENTAL CLINIC,1832,1879.50,47.50,0.0253
2025-04-01,West Moreton,BOONAH DENTAL CLINIC,396,405.00,9.00,0.0222
2025-04-01,West Moreton,ESK DENTAL CLINIC,400,410.75,10.75,0.0262
2025-04-01,West Moreton,GATTON DENTAL CLINIC,8,8.00,0.00,0.0000
2025-04-01,West Moreton,IPSWICH DENTAL CLINIC,7371,7512.50,141.50,0.0188
2025-04-01,Wide Bay,MUNDUBBERA DENTAL CLINIC,143,143.00,0.00,0.0000
2025-04-01,Wide Bay,CHILDERS DENTAL CLINIC,270,270.00,0.00,0.0000
2025-04-01,Wide Bay,BUNDABERG DENTAL CLINIC,3775,3775.00,0.00,0.0000
2025-04-01,Wide Bay,HERVEY BAY DENTAL CLINIC,4560,4560.00,0.00,0.0000
2025-04-01,Wide Bay,MONTO DENTAL CLINIC,65,65.00,0.00,0.0000
2025-04-01,Wide Bay,MARYBOROUGH DENTAL CLINIC,2511,2511.00,0.00,0.0000
2025-04-01,Wide Bay,GAYNDAH DENTAL CLINIC,369,369.00,0.00,0.0000
