quarter,catchment,months_to_treat,patients_cleared_in_24mo,patients_beyond_24mo,long_waiting_patients,exit_results,exit_interpretation
2024-10-01,West Moreton,67,3594,6438,351,6087,exits likely
2024-10-01,Wide Bay,45,6257,5475,0,5475,exits likely
2025-01-01,Cairns and Hinterland,36,6399,3200,0,3200,exits likely
2025-01-01,Central Queensland,18,11515,-2879,0,-2879,within target
2025-01-01,Central West,20,1394,-232,2,-234,within target
2025-01-01,Darling Downs,52,4775,5571,0,5571,exits likely
2025-01-01,Gold Coast,32,7790,2597,0,2597,exits likely
2025-01-01,Mackay,14,11153,-4647,0,-4647,within target
2025-01-01,Metro North,79,6431,14738,0,14738,exits likely
2025-01-01,Metro South,33,24029,9011,0,9011,exits likely
2025-01-01,North West,25,472,20,0,20,exits likely
2025-01-01,South West,9,3280,-2050,0,-2050,within target
2025-01-01,Sunshine Coast,33,8516,3193,0,3193,exits likely
2025-01-01,Torres and Cape,26,760,63,205,-142,retention — patients trapped
2025-01-01,Townsville,23,3628,-151,0,-151,within target
2025-01-01,West Moreton,97,2463,7490,376,7114,exits likely
2025-01-01,Wide Bay,32,8727,2909,0,2909,exits likely
2025-04-01,Cairns and Hinterland,34,7100,2958,0,2958,exits likely
2025-04-01,Central Queensland,22,9308,-776,0,-776,within target
2025-04-01,Central West,34,817,340,0,340,exits likely
2025-04-01,Darling Downs,51,5017,5645,0,5645,exits likely
2025-04-01,Gold Coast,20,11582,-1930,1,-1931,within target
2025-04-01,Mackay,33,4924,1847,0,1847,exits likely
2025-04-01,Metro North,33,16529,6198,0,6198,exits likely
2025-04-01,Metro South,75,11705,24872,2,24870,exits likely
2025-04-01,North West,32,458,153,1,152,exits likely
2025-04-01,South West,15,2040,-765,0,-765,within target
2025-04-01,Sunshine Coast,46,6315,5789,6,5783,exits likely
2025-04-01,Torres and Cape,14,1245,-519,142,-661,within target
2025-04-01,Townsville,37,2408,1304,0,1304,exits likely
2025-04-01,West Moreton,75,3666,7790,901,6889,exits likely
2025-04-01,Wide Bay,32,8770,2923,0,2923,exits likely
