quarter,clinic_id,clinic_name,clinic_waiting_total,clinic_treated_total,clinic_capacity,treatment_rate,quarters_to_treat,months_to_treat,catchment,catchment_waiting_total,catchment_treated_total,mean_capacity_pct,mean_treatment_rate,clinics_pct_of_catchment,catchment_pct_of_qld,region,region_pct_of_qld,clinic_pct_of_qld
2024-04-01,27,SMITHFIELD DENTAL CLINIC,852,74,8.000,0.087,11,34,Cairns and Hinterland,8619,1150,11.772,0.133,0.099,0.0658,North,0.1532,0.0064
2024-04-01,26,CAIRNS NTH DENTAL CLINIC,2771,302,9.800,0.109,9,28,Cairns and Hinterland,8619,1150,11.772,0.133,0.321,0.0658,North,0.1532,0.0213
2024-04-01,107,CAPE YORK DENTAL CLINIC,519,31,5.600,0.060,17,50,Torres and Cape,1076,138,11.367,0.128,0.482,0.0082,North,0.1532,0.0038
2024-04-01,150,TORRES STRAIT DENTAL CLINIC,557,107,16.100,0.192,5,16,Torres and Cape,1076,138,11.367,0.128,0.518,0.0082,North,0.1532,0.0046
2024-04-01,38,PROSERPINE DENTAL,958,236,19.800,0.246,4,12,Mackay,6958,1010,12.676,0.145,0.138,0.0531,North,0.1532,0.0083
2024-04-01,13,BOWEN DENTAL CLINIC,897,284,24.000,0.317,3,9,Mackay,6958,1010,12.676,0.145,0.129,0.0531,North,0.1532,0.0082
2024-04-01,120,CLERMONT DENTAL CLINIC,38,51,57.300,1.342,1,2,Mackay,6958,1010,12.676,0.145,0.005,0.0531,North,0.1532,0.0006
2024-04-01,39,MACKAY DENTAL CLINIC,5030,434,7.900,0.086,12,35,Mackay,6958,1010,12.676,0.145,0.723,0.0531,North,0.1532,0.0379
2024-04-01,20,TOWNSVILLE DENTAL CLINIC,2556,242,8.600,0.095,11,32,Townsville,3405,352,9.369,0.103,0.751,0.0260,North,0.1532,0.0194
2024-04-01,118,MT MORGAN DENTAL CLINIC,142,27,16.000,0.190,5,16,Central Queensland,8170,1526,15.738,0.187,0.017,0.0624,Central,0.0741,0.0012
2024-04-01,144,GC SOUTHPORT HEALTH PREC,7350,554,7.000,0.075,13,40,Gold Coast,9111,857,8.598,0.094,0.807,0.0696,South East,0.6147,0.0548
2024-04-01,155,BAYSIDE CLUSTER,5511,431,7.300,0.078,13,38,Metro South,30747,2556,7.675,0.083,0.179,0.2348,South East,0.6147,0.0412
2024-04-01,154,NATHAN INALA CLUSTER,5528,499,8.300,0.090,11,33,Metro South,30747,2556,7.675,0.083,0.180,0.2348,South East,0.6147,0.0418
2024-04-01,152,MS INNER BRISBANE CLUSTER,4645,593,11.300,0.128,8,23,Metro South,30747,2556,7.675,0.083,0.151,0.2348,South East,0.6147,0.0363
2024-04-01,157,BEENLEIGH BEAUDESERT CLUS,9673,791,7.600,0.082,12,37,Metro South,30747,2556,7.675,0.083,0.315,0.2348,South East,0.6147,0.0726
2024-04-01,156,KINGSTON LOGAN CLUSTER,5390,242,4.300,0.045,22,67,Metro South,30747,2556,7.675,0.083,0.175,0.2348,South East,0.6147,0.0391
2024-04-01,51,BUNDABERG DENTAL CLINIC,3956,240,5.700,0.061,16,49,Wide Bay,11501,966,7.748,0.084,0.344,0.0878,South East,0.6147,0.0291
2024-04-01,131,CHILDERS DENTAL CLINIC,255,19,6.900,0.075,13,40,Wide Bay,11501,966,7.748,0.084,0.022,0.0878,South East,0.6147,0.0019
2024-04-01,50,MONTO DENTAL CLINIC,66,2,2.900,0.030,33,100,Wide Bay,11501,966,7.748,0.084,0.006,0.0878,South East,0.6147,0.0005
2024-04-01,2,CALOUNDRA DENTAL CLINIC,3593,150,4.000,0.042,24,71,Sunshine Coast,12971,530,3.926,0.041,0.277,0.0991,South East,0.6147,0.0260
2024-04-01,3,GYMPIE DENTAL CLINIC,2570,146,5.400,0.057,18,53,Sunshine Coast,12971,530,3.926,0.041,0.198,0.0991,South East,0.6147,0.0188
2024-04-01,4,NAMBOUR DENTAL CLINIC,1945,55,2.800,0.028,36,107,Sunshine Coast,12971,530,3.926,0.041,0.150,0.0991,South East,0.6147,0.0139
2024-04-01,5,NOOSA DENTAL CLINIC,1702,58,3.300,0.034,29,88,Sunshine Coast,12971,530,3.926,0.041,0.131,0.0991,South East,0.6147,0.0122
2024-04-01,1,KAWANA DENTAL CLINIC,3161,121,3.700,0.038,26,79,Sunshine Coast,12971,530,3.926,0.041,0.244,0.0991,South East,0.6147,0.0228
2024-04-01,6,REDCLIFFE DENTAL CLINIC,2563,16,0.600,0.006,167,500,Metro North,16156,2722,14.419,0.168,0.159,0.1234,South East,0.6147,0.0179
2024-04-01,89,STAFFORD DENTAL CLINIC,2149,2156,50.100,1.003,1,3,Metro North,16156,2722,14.419,0.168,0.133,0.1234,South East,0.6147,0.0299
2024-04-01,94,SANDGATE DENTAL CLINIC,1198,56,4.500,0.047,21,64,Metro North,16156,2722,14.419,0.168,0.074,0.1234,South East,0.6147,0.0087
2024-04-01,88,ORAL HEALTH CENTRE,3457,436,11.200,0.126,8,24,Metro North,16156,2722,14.419,0.168,0.214,0.1234,South East,0.6147,0.0270
2024-04-01,7,CABOOLTURE DENTAL CLINIC,4468,11,0.200,0.002,500,1500,Metro North,16156,2722,14.419,0.168,0.277,0.1234,South East,0.6147,0.0311
2024-04-01,171,KALLANGUR SATELLITE CLINI,2321,33,1.400,0.014,71,214,Metro North,16156,2722,14.419,0.168,0.144,0.1234,South East,0.6147,0.0163
2024-04-01,10,ROBINA DENTAL CLINIC,1080,259,19.300,0.240,4,13,Gold Coast,9111,857,8.598,0.094,0.119,0.0696,South East,0.6147,0.0093
2024-04-01,48,MUNDUBBERA DENTAL CLINIC,142,17,10.700,0.120,8,25,Wide Bay,11501,966,7.748,0.084,0.012,0.0878,South East,0.6147,0.0011
2024-04-01,47,MARYBOROUGH DENTAL CLINIC,2703,75,2.700,0.028,36,107,Wide Bay,11501,966,7.748,0.084,0.235,0.0878,South East,0.6147,0.0193
2024-04-01,46,GAYNDAH DENTAL CLINIC,325,48,12.900,0.148,7,20,Wide Bay,11501,966,7.748,0.084,0.028,0.0878,South East,0.6147,0.0026
2024-04-01,44,HERVEY BAY DENTAL CLINIC,4054,565,12.200,0.139,7,22,Wide Bay,11501,966,7.748,0.084,0.352,0.0878,South East,0.6147,0.0320
2024-04-01,8,PALM BEACH DENTAL CLINIC,587,0,0.000,0.000,NULL,NULL,Gold Coast,9111,857,8.598,0.094,0.064,0.0696,South East,0.6147,0.0041
2024-04-01,142,GCUH DENTAL CLINIC,94,44,31.900,0.468,2,6,Gold Coast,9111,857,8.598,0.094,0.010,0.0696,South East,0.6147,0.0010
2024-04-01,129,SURAT DENTAL CLINIC,26,0,0.000,0.000,NULL,NULL,South West,1058,262,19.848,0.248,0.025,0.0081,South West,0.1580,0.0002
2024-04-01,123,DIRRANBANDI DENTAL CLINIC,10,1,9.100,0.100,10,30,South West,1058,262,19.848,0.248,0.009,0.0081,South West,0.1580,0.0001
2024-04-01,124,INJUNE DENTAL CLINIC,22,7,24.100,0.318,3,9,South West,1058,262,19.848,0.248,0.021,0.0081,South West,0.1580,0.0002
2024-04-01,125,MITCHELL DENTAL CLINIC,95,7,6.900,0.074,14,41,South West,1058,262,19.848,0.248,0.090,0.0081,South West,0.1580,0.0007
2024-04-01,127,MUNGINDI DENTAL CLINIC,14,1,6.700,0.071,14,42,South West,1058,262,19.848,0.248,0.013,0.0081,South West,0.1580,0.0001
2024-04-01,83,ESK DENTAL CLINIC,354,8,2.200,0.023,43,130,West Moreton,9524,270,2.757,0.028,0.037,0.0727,South West,0.1580,0.0025
2024-04-01,86,COLLINGWOOD PARK DENTAL C,1205,39,3.100,0.032,31,94,West Moreton,9524,270,2.757,0.028,0.127,0.0727,South West,0.1580,0.0086
2024-04-01,52,GATTON DENTAL CLINIC,3,0,0.000,0.000,NULL,NULL,West Moreton,9524,270,2.757,0.028,0.000,0.0727,South West,0.1580,0.0000
2024-04-01,87,IPSWICH DENTAL CLINIC,6022,170,2.700,0.028,36,107,West Moreton,9524,270,2.757,0.028,0.632,0.0727,South West,0.1580,0.0430
2024-04-01,85,LAIDLEY DENTAL CLINIC,1564,41,2.600,0.026,38,115,West Moreton,9524,270,2.757,0.028,0.164,0.0727,South West,0.1580,0.0111
2024-04-01,84,BOONAH DENTAL CLINIC,376,12,3.100,0.032,31,94,West Moreton,9524,270,2.757,0.028,0.039,0.0727,South West,0.1580,0.0027
2024-04-01,160,ST GEORGE DENTAL CLINIC,77,20,20.600,0.260,4,12,South West,1058,262,19.848,0.248,0.073,0.0081,South West,0.1580,0.0007
2024-04-01,128,QUILPIE DENTAL CLINIC,21,5,19.200,0.238,4,13,South West,1058,262,19.848,0.248,0.020,0.0081,South West,0.1580,0.0002
2024-04-01,62,CHARLEVILLE DENTAL CLINIC,196,55,21.900,0.281,4,11,South West,1058,262,19.848,0.248,0.185,0.0081,South West,0.1580,0.0017
2024-04-01,58,WARWICK DENTAL CLINIC,855,17,1.900,0.020,50,150,Darling Downs,10106,717,6.625,0.071,0.085,0.0772,South West,0.1580,0.0060
2024-04-01,57,STANTHORPE DENTAL CLINIC,827,47,5.400,0.057,18,53,Darling Downs,10106,717,6.625,0.071,0.082,0.0772,South West,0.1580,0.0061
2024-04-01,56,INGLEWOOD DENTAL CLINIC,124,24,16.200,0.194,5,15,Darling Downs,10106,717,6.625,0.071,0.012,0.0772,South West,0.1580,0.0010
2024-04-01,55,GOONDIWINDI DENTAL CLINIC,220,3,1.300,0.014,71,214,Darling Downs,10106,717,6.625,0.071,0.022,0.0772,South West,0.1580,0.0015
2024-04-01,54,TOOWOOMBA DENTAL CLINIC,4700,217,4.400,0.046,22,65,Darling Downs,10106,717,6.625,0.071,0.465,0.0772,South West,0.1580,0.0341
2024-04-01,63,CUNNAMULLA DENTAL CLINIC,89,16,15.200,0.180,6,17,South West,1058,262,19.848,0.248,0.084,0.0081,South West,0.1580,0.0007
2024-04-01,53,MILES DENTAL CLINIC,434,54,11.100,0.124,8,24,Darling Downs,10106,717,6.625,0.071,0.043,0.0772,South West,0.1580,0.0034
2024-04-01,60,DALBY DENTAL CLINIC,815,41,4.800,0.050,20,60,Darling Downs,10106,717,6.625,0.071,0.081,0.0772,South West,0.1580,0.0059
2024-04-01,45,KINGAROY DENTAL CLINIC,2131,314,12.800,0.147,7,20,Darling Downs,10106,717,6.625,0.071,0.211,0.0772,South West,0.1580,0.0170
2024-04-01,65,ROMA HOSPITAL DENTAL CLIN,508,150,22.800,0.295,3,10,South West,1058,262,19.848,0.248,0.480,0.0081,South West,0.1580,0.0046
2024-04-01,33,GLADSTONE DENTAL CLINIC,2036,306,13.100,0.150,7,20,Central Queensland,8170,1526,15.738,0.187,0.249,0.0624,Central,0.0741,0.0162
2024-04-01,37,CAPRICORN COAST DENTAL,1424,302,17.500,0.212,5,14,Central Queensland,8170,1526,15.738,0.187,0.174,0.0624,Central,0.0741,0.0120
2024-04-01,35,BILOELA DENTAL CLINIC,337,13,3.700,0.039,26,77,Central Queensland,8170,1526,15.738,0.187,0.041,0.0624,Central,0.0741,0.0024
2024-04-01,16,MT ISA DENTAL CLINIC,425,19,4.300,0.045,22,67,North West,554,70,11.218,0.126,0.767,0.0042,Central,0.0741,0.0031
2024-04-01,15,MORNINGTON ISLAND DENTAL,129,51,28.300,0.395,3,8,North West,554,70,11.218,0.126,0.233,0.0042,Central,0.0741,0.0012
2024-04-01,32,ROCKHAMPTON DENTAL CLINIC,3649,772,17.500,0.212,5,14,Central Queensland,8170,1526,15.738,0.187,0.447,0.0624,Central,0.0741,0.0307
2024-04-01,42,CENTRAL WEST DENTAL CLINICS,984,120,10.900,0.122,8,25,Central West,984,120,10.870,0.122,1.000,0.0075,Central,0.0741,0.0077
2024-07-01,10,ROBINA DENTAL CLINIC,1129,243,17.700,0.215,5,14,Gold Coast,9576,1038,9.780,0.108,0.118,0.0728,South East,0.6284,0.0092
2024-07-01,144,GC SOUTHPORT HEALTH PREC,7798,578,6.900,0.074,14,41,Gold Coast,9576,1038,9.780,0.108,0.814,0.0728,South East,0.6284,0.0561
2024-07-01,42,CENTRAL WEST DENTAL CLINICS,1020,125,10.900,0.123,8,24,Central West,1020,125,10.917,0.123,1.000,0.0077,Central,0.0712,0.0077
2024-07-01,35,BILOELA DENTAL CLINIC,368,15,3.900,0.041,24,73,Central Queensland,7970,1618,16.875,0.203,0.046,0.0606,Central,0.0712,0.0026
2024-07-01,118,MT MORGAN DENTAL CLINIC,127,47,27.000,0.370,3,8,Central Queensland,7970,1618,16.875,0.203,0.016,0.0606,Central,0.0712,0.0012
2024-07-01,36,EMERALD DENTAL CLINIC,462,197,29.900,0.426,2,7,Central Queensland,7970,1618,16.875,0.203,0.058,0.0606,Central,0.0712,0.0044
2024-07-01,37,CAPRICORN COAST DENTAL,1356,275,16.900,0.203,5,15,Central Queensland,7970,1618,16.875,0.203,0.170,0.0606,Central,0.0712,0.0109
2024-07-01,33,GLADSTONE DENTAL CLINIC,2088,214,9.300,0.102,10,29,Central Queensland,7970,1618,16.875,0.203,0.262,0.0606,Central,0.0712,0.0154
2024-07-01,32,ROCKHAMPTON DENTAL CLINIC,3569,870,19.600,0.244,4,12,Central Queensland,7970,1618,16.875,0.203,0.448,0.0606,Central,0.0712,0.0297
2024-07-01,15,MORNINGTON ISLAND DENTAL,119,7,5.600,0.059,17,51,North West,388,187,32.522,0.482,0.307,0.0029,Central,0.0712,0.0008
2024-07-01,16,MT ISA DENTAL CLINIC,269,180,40.100,0.669,1,4,North West,388,187,32.522,0.482,0.693,0.0029,Central,0.0712,0.0030
2024-07-01,171,KALLANGUR SATELLITE CLINI,2627,15,0.600,0.006,167,500,Metro North,17927,1967,9.887,0.110,0.147,0.1362,South East,0.6284,0.0177
2024-07-01,7,CABOOLTURE DENTAL CLINIC,5157,33,0.600,0.006,167,500,Metro North,17927,1967,9.887,0.110,0.288,0.1362,South East,0.6284,0.0347
2024-07-01,6,REDCLIFFE DENTAL CLINIC,2958,9,0.300,0.003,333,1000,Metro North,17927,1967,9.887,0.110,0.165,0.1362,South East,0.6284,0.0199
2024-07-01,89,STAFFORD DENTAL CLINIC,2466,730,22.800,0.296,3,10,Metro North,17927,1967,9.887,0.110,0.138,0.1362,South East,0.6284,0.0214
2024-07-01,88,ORAL HEALTH CENTRE,3310,1060,24.300,0.320,3,9,Metro North,17927,1967,9.887,0.110,0.185,0.1362,South East,0.6284,0.0293
2024-07-01,94,SANDGATE DENTAL CLINIC,1409,107,7.100,0.076,13,39,Metro North,17927,1967,9.887,0.110,0.079,0.1362,South East,0.6284,0.0101
2024-07-01,157,BEENLEIGH BEAUDESERT CLUS,9998,876,8.100,0.088,11,34,Metro South,32072,3275,9.265,0.102,0.312,0.2437,South East,0.6284,0.0728
2024-07-01,155,BAYSIDE CLUSTER,5495,724,11.600,0.132,8,23,Metro South,32072,3275,9.265,0.102,0.171,0.2437,South East,0.6284,0.0416
2024-07-01,154,NATHAN INALA CLUSTER,5853,634,9.800,0.108,9,28,Metro South,32072,3275,9.265,0.102,0.182,0.2437,South East,0.6284,0.0434
2024-07-01,152,MS INNER BRISBANE CLUSTER,5023,593,10.600,0.118,8,25,Metro South,32072,3275,9.265,0.102,0.157,0.2437,South East,0.6284,0.0376
2024-07-01,1,KAWANA DENTAL CLINIC,2935,257,8.100,0.088,11,34,Sunshine Coast,12339,1166,8.634,0.094,0.238,0.0937,South East,0.6284,0.0214
2024-07-01,2,CALOUNDRA DENTAL CLINIC,3454,372,9.700,0.108,9,28,Sunshine Coast,12339,1166,8.634,0.094,0.280,0.0937,South East,0.6284,0.0256
2024-07-01,30,EDMONTON DENTAL CLINIC,1233,167,11.900,0.135,7,22,Cairns and Hinterland,8548,1345,13.595,0.157,0.144,0.0649,North,0.1445,0.0094
2024-07-01,38,PROSERPINE DENTAL,813,327,28.700,0.402,2,7,Mackay,6286,2554,28.891,0.406,0.129,0.0478,North,0.1445,0.0076
2024-07-01,121,COLLINSVILLE DENTAL CLINI,28,28,50.000,1.000,1,3,Mackay,6286,2554,28.891,0.406,0.004,0.0478,North,0.1445,0.0004
2024-07-01,39,MACKAY DENTAL CLINIC,4593,1775,27.900,0.386,3,8,Mackay,6286,2554,28.891,0.406,0.731,0.0478,North,0.1445,0.0426
2024-07-01,13,BOWEN DENTAL CLINIC,812,373,31.500,0.459,2,7,Mackay,6286,2554,28.891,0.406,0.129,0.0478,North,0.1445,0.0079
2024-07-01,120,CLERMONT DENTAL CLINIC,40,51,56.000,1.275,1,2,Mackay,6286,2554,28.891,0.406,0.006,0.0478,North,0.1445,0.0006
2024-07-01,28,TULLY DENTAL CLINIC,621,77,11.000,0.124,8,24,Cairns and Hinterland,8548,1345,13.595,0.157,0.073,0.0649,North,0.1445,0.0047
2024-07-01,14,AYR DENTAL CLINIC,294,24,7.500,0.082,12,37,Townsville,3354,404,10.750,0.120,0.088,0.0255,North,0.1445,0.0021
2024-07-01,3,GYMPIE DENTAL CLINIC,2425,200,7.600,0.082,12,37,Sunshine Coast,12339,1166,8.634,0.094,0.197,0.0937,South East,0.6284,0.0176
2024-07-01,4,NAMBOUR DENTAL CLINIC,1848,200,9.800,0.108,9,28,Sunshine Coast,12339,1166,8.634,0.094,0.150,0.0937,South East,0.6284,0.0137
2024-07-01,5,NOOSA DENTAL CLINIC,1677,137,7.600,0.082,12,37,Sunshine Coast,12339,1166,8.634,0.094,0.136,0.0937,South East,0.6284,0.0121
2024-07-01,131,CHILDERS DENTAL CLINIC,263,15,5.400,0.057,18,53,Wide Bay,10803,1769,14.071,0.164,0.024,0.0821,South East,0.6284,0.0019
2024-07-01,47,MARYBOROUGH DENTAL CLINIC,2372,382,13.900,0.161,6,19,Wide Bay,10803,1769,14.071,0.164,0.220,0.0821,South East,0.6284,0.0184
2024-07-01,48,MUNDUBBERA DENTAL CLINIC,142,23,13.900,0.162,6,19,Wide Bay,10803,1769,14.071,0.164,0.013,0.0821,South East,0.6284,0.0011
2024-07-01,50,MONTO DENTAL CLINIC,61,8,11.600,0.131,8,23,Wide Bay,10803,1769,14.071,0.164,0.006,0.0821,South East,0.6284,0.0005
2024-07-01,46,GAYNDAH DENTAL CLINIC,338,67,16.500,0.198,5,15,Wide Bay,10803,1769,14.071,0.164,0.031,0.0821,South East,0.6284,0.0027
2024-07-01,51,BUNDABERG DENTAL CLINIC,3691,468,11.300,0.127,8,24,Wide Bay,10803,1769,14.071,0.164,0.342,0.0821,South East,0.6284,0.0278
2024-07-01,44,HERVEY BAY DENTAL CLINIC,3936,806,17.000,0.205,5,15,Wide Bay,10803,1769,14.071,0.164,0.364,0.0821,South East,0.6284,0.0317
2024-07-01,87,IPSWICH DENTAL CLINIC,5955,579,8.900,0.097,10,31,West Moreton,9226,985,9.646,0.107,0.645,0.0701,South West,0.1558,0.0437
2024-07-01,83,ESK DENTAL CLINIC,343,40,10.400,0.117,9,26,West Moreton,9226,985,9.646,0.107,0.037,0.0701,South West,0.1558,0.0026
2024-07-01,52,GATTON DENTAL CLINIC,3,0,0.000,0.000,NULL,NULL,West Moreton,9226,985,9.646,0.107,0.000,0.0701,South West,0.1558,0.0000
2024-07-01,85,LAIDLEY DENTAL CLINIC,1457,181,11.100,0.124,8,24,West Moreton,9226,985,9.646,0.107,0.158,0.0701,South West,0.1558,0.0110
2024-07-01,45,KINGAROY DENTAL CLINIC,2231,220,9.000,0.099,10,30,Darling Downs,10190,938,8.429,0.092,0.219,0.0774,South West,0.1558,0.0164
2024-07-01,55,GOONDIWINDI DENTAL CLINIC,194,12,5.800,0.062,16,48,Darling Downs,10190,938,8.429,0.092,0.019,0.0774,South West,0.1558,0.0014
2024-07-01,54,TOOWOOMBA DENTAL CLINIC,4715,381,7.500,0.081,12,37,Darling Downs,10190,938,8.429,0.092,0.463,0.0774,South West,0.1558,0.0341
2024-07-01,60,DALBY DENTAL CLINIC,814,49,5.700,0.060,17,50,Darling Downs,10190,938,8.429,0.092,0.080,0.0774,South West,0.1558,0.0058
2024-07-01,53,MILES DENTAL CLINIC,419,71,14.500,0.169,6,18,Darling Downs,10190,938,8.429,0.092,0.041,0.0774,South West,0.1558,0.0033
2024-07-01,56,INGLEWOOD DENTAL CLINIC,107,40,27.200,0.374,3,8,Darling Downs,10190,938,8.429,0.092,0.011,0.0774,South West,0.1558,0.0010
2024-07-01,57,STANTHORPE DENTAL CLINIC,834,92,9.900,0.110,9,27,Darling Downs,10190,938,8.429,0.092,0.082,0.0774,South West,0.1558,0.0062
2024-07-01,24,INNISFAIL DENTAL CLINIC,949,143,13.100,0.151,7,20,Cairns and Hinterland,8548,1345,13.595,0.157,0.111,0.0649,North,0.1445,0.0073
2024-07-01,23,ATHERTON DENTAL CLINIC,792,98,11.000,0.124,8,24,Cairns and Hinterland,8548,1345,13.595,0.157,0.093,0.0649,North,0.1445,0.0060
2024-07-01,21,MOSSMAN DENTAL CLINIC,429,66,13.300,0.154,6,19,Cairns and Hinterland,8548,1345,13.595,0.157,0.050,0.0649,North,0.1445,0.0033
2024-07-01,19,CHARTERS TOWERS DENTAL CL,186,26,12.300,0.140,7,21,Townsville,3354,404,10.750,0.120,0.055,0.0255,North,0.1445,0.0014
2024-07-01,27,SMITHFIELD DENTAL CLINIC,868,137,13.600,0.158,6,19,Cairns and Hinterland,8548,1345,13.595,0.157,0.102,0.0649,North,0.1445,0.0067
2024-07-01,81,HUGHENDEN DENTAL CLINIC,9,1,10.000,0.111,9,27,Townsville,3354,404,10.750,0.120,0.003,0.0255,North,0.1445,0.0001
2024-07-01,130,RICHMOND DENTAL CLINIC,4,1,20.000,0.250,4,12,Townsville,3354,404,10.750,0.120,0.001,0.0255,North,0.1445,0.0000
2024-07-01,17,INGHAM DENTAL CLINIC,323,46,12.500,0.142,7,21,Townsville,3354,404,10.750,0.120,0.096,0.0255,North,0.1445,0.0025
2024-07-01,20,TOWNSVILLE DENTAL CLINIC,2538,306,10.800,0.121,8,25,Townsville,3354,404,10.750,0.120,0.757,0.0255,North,0.1445,0.0190
2024-07-01,107,CAPE YORK DENTAL CLINIC,557,28,4.800,0.050,20,60,Torres and Cape,829,100,10.764,0.121,0.672,0.0063,North,0.1445,0.0039
2024-07-01,150,TORRES STRAIT DENTAL CLINIC,272,72,20.900,0.265,4,11,Torres and Cape,829,100,10.764,0.121,0.328,0.0063,North,0.1445,0.0023
2024-07-01,25,MAREEBA DENTAL CLINIC,1024,180,15.000,0.176,6,17,Cairns and Hinterland,8548,1345,13.595,0.157,0.120,0.0649,North,0.1445,0.0081
2024-07-01,58,WARWICK DENTAL CLINIC,876,73,7.700,0.083,12,36,Darling Downs,10190,938,8.429,0.092,0.086,0.0774,South West,0.1558,0.0064
2024-07-01,123,DIRRANBANDI DENTAL CLINIC,13,7,35.000,0.538,2,6,South West,1096,352,24.309,0.321,0.012,0.0083,South West,0.1558,0.0001
2024-07-01,84,BOONAH DENTAL CLINIC,335,57,14.500,0.170,6,18,West Moreton,9226,985,9.646,0.107,0.036,0.0701,South West,0.1558,0.0026
2024-07-01,65,ROMA HOSPITAL DENTAL CLIN,559,181,24.500,0.324,3,9,South West,1096,352,24.309,0.321,0.510,0.0083,South West,0.1558,0.0050
2024-07-01,86,COLLINGWOOD PARK DENTAL C,1133,128,10.200,0.113,9,27,West Moreton,9226,985,9.646,0.107,0.123,0.0701,South West,0.1558,0.0084
2024-07-01,64,THARGOMINDAH DENTAL SERVI,2,0,0.000,0.000,NULL,NULL,South West,1096,352,24.309,0.321,0.002,0.0083,South West,0.1558,0.0000
2024-07-01,63,CUNNAMULLA DENTAL CLINIC,99,31,23.800,0.313,3,10,South West,1096,352,24.309,0.321,0.090,0.0083,South West,0.1558,0.0009
2024-07-01,62,CHARLEVILLE DENTAL CLINIC,200,84,29.600,0.420,2,7,South West,1096,352,24.309,0.321,0.182,0.0083,South West,0.1558,0.0019
2024-07-01,124,INJUNE DENTAL CLINIC,19,0,0.000,0.000,NULL,NULL,South West,1096,352,24.309,0.321,0.017,0.0083,South West,0.1558,0.0001
2024-07-01,160,ST GEORGE DENTAL CLINIC,66,19,22.400,0.288,3,10,South West,1096,352,24.309,0.321,0.060,0.0083,South West,0.1558,0.0006
2024-07-01,129,SURAT DENTAL CLINIC,24,0,0.000,0.000,NULL,NULL,South West,1096,352,24.309,0.321,0.022,0.0083,South West,0.1558,0.0002
2024-07-01,128,QUILPIE DENTAL CLINIC,29,10,25.600,0.345,3,9,South West,1096,352,24.309,0.321,0.026,0.0083,South West,0.1558,0.0003
2024-07-01,127,MUNGINDI DENTAL CLINIC,12,6,33.300,0.500,2,6,South West,1096,352,24.309,0.321,0.011,0.0083,South West,0.1558,0.0001
2024-07-01,26,CAIRNS NTH DENTAL CLINIC,2632,418,13.700,0.159,6,19,Cairns and Hinterland,8548,1345,13.595,0.157,0.308,0.0649,North,0.1445,0.0204
2024-07-01,125,MITCHELL DENTAL CLINIC,73,14,16.100,0.192,5,16,South West,1096,352,24.309,0.321,0.067,0.0083,South West,0.1558,0.0006
2024-07-01,156,KINGSTON LOGAN CLUSTER,5703,448,7.300,0.079,13,38,Metro South,32072,3275,9.265,0.102,0.178,0.2437,South East,0.6284,0.0412
2024-07-01,142,GCUH DENTAL CLINIC,127,16,11.200,0.126,8,24,Gold Coast,9576,1038,9.780,0.108,0.013,0.0728,South East,0.6284,0.0010
2024-07-01,8,PALM BEACH DENTAL CLINIC,522,201,27.800,0.385,3,8,Gold Coast,9576,1038,9.780,0.108,0.055,0.0728,South East,0.6284,0.0048
2024-10-01,130,RICHMOND DENTAL CLINIC,5,1,16.700,0.200,5,15,Townsville,3457,329,8.690,0.095,0.001,0.0254,North,0.1504,0.0000
2024-10-01,81,HUGHENDEN DENTAL CLINIC,15,2,11.800,0.133,8,23,Townsville,3457,329,8.690,0.095,0.004,0.0254,North,0.1504,0.0001
2024-10-01,19,CHARTERS TOWERS DENTAL CL,153,49,24.300,0.320,3,9,Townsville,3457,329,8.690,0.095,0.044,0.0254,North,0.1504,0.0014
2024-10-01,17,INGHAM DENTAL CLINIC,347,42,10.800,0.121,8,25,Townsville,3457,329,8.690,0.095,0.100,0.0254,North,0.1504,0.0026
2024-10-01,26,CAIRNS NTH DENTAL CLINIC,2722,357,11.600,0.131,8,23,Cairns and Hinterland,9252,996,9.719,0.108,0.294,0.0679,North,0.1504,0.0207
2024-10-01,30,EDMONTON DENTAL CLINIC,1355,166,10.900,0.123,8,24,Cairns and Hinterland,9252,996,9.719,0.108,0.146,0.0679,North,0.1504,0.0102
2024-10-01,24,INNISFAIL DENTAL CLINIC,1090,57,5.000,0.052,19,58,Cairns and Hinterland,9252,996,9.719,0.108,0.118,0.0679,North,0.1504,0.0077
2024-10-01,25,MAREEBA DENTAL CLINIC,1127,107,8.700,0.095,11,32,Cairns and Hinterland,9252,996,9.719,0.108,0.122,0.0679,North,0.1504,0.0083
2024-10-01,21,MOSSMAN DENTAL CLINIC,487,52,9.600,0.107,9,28,Cairns and Hinterland,9252,996,9.719,0.108,0.053,0.0679,North,0.1504,0.0036
2024-10-01,28,TULLY DENTAL CLINIC,700,40,5.400,0.057,18,53,Cairns and Hinterland,9252,996,9.719,0.108,0.076,0.0679,North,0.1504,0.0050
2024-10-01,23,ATHERTON DENTAL CLINIC,901,64,6.600,0.071,14,42,Cairns and Hinterland,9252,996,9.719,0.108,0.097,0.0679,North,0.1504,0.0065
2024-10-01,135,YARRABAH DENTAL CLINIC,3,56,94.900,18.667,0,0,Cairns and Hinterland,9252,996,9.719,0.108,0.000,0.0679,North,0.1504,0.0004
2024-10-01,27,SMITHFIELD DENTAL CLINIC,867,95,9.900,0.110,9,27,Cairns and Hinterland,9252,996,9.719,0.108,0.094,0.0679,North,0.1504,0.0065
