quarter,catchment,total_waiting,total_waiting_adjusted,backlog,proportional_backlog
2023-04-01,Gold Coast,9858,9858.00,0.00,0.00
2023-04-01,Mackay,6576,6576.00,0.00,0.00
2023-04-01,Metro North,12629,12629.00,0.00,0.00
2023-04-01,Metro South,26477,26477.00,0.00,0.00
2023-04-01,North West,709,760.75,51.75,6.80
2023-04-01,South West,835,835.00,0.00,0.00
2023-04-01,Sunshine Coast,12850,12850.00,0.00,0.00
2023-04-01,Torres and Cape,940,1007.50,67.50,6.70
2023-04-01,Townsville,2977,2977.00,0.00,0.00
2023-04-01,West Moreton,7276,7276.00,0.00,0.00
2023-04-01,Wide Bay,10909,10909.00,0.00,0.00
2023-07-01,Cairns and Hinterland,8338,8338.00,0.00,0.00
2023-07-01,Central Queensland,8093,8093.00,0.00,0.00
2023-07-01,Central West,645,645.00,0.00,0.00
2023-07-01,Darling Downs,9194,9194.00,0.00,0.00
2023-07-01,Gold Coast,8685,8685.00,0.00,0.00
2023-07-01,Mackay,6426,6426.00,0.00,0.00
2023-07-01,Metro North,13401,13401.00,0.00,0.00
2023-07-01,Metro South,29987,29987.00,0.00,0.00
2023-07-01,North West,687,749.25,62.25,8.31
2023-07-01,South West,798,798.00,0.00,0.00
2023-07-01,Sunshine Coast,11469,11469.00,0.00,0.00
2023-07-01,Torres and Cape,1037,1126.75,89.75,7.97
2023-07-01,Townsville,3126,3126.00,0.00,0.00
2023-07-01,West Moreton,7183,7183.00,0.00,0.00
2023-07-01,Wide Bay,10631,10631.00,0.00,0.00
2023-10-01,Cairns and Hinterland,8686,8686.00,0.00,0.00
2023-10-01,Central Queensland,8397,8397.00,0.00,0.00
2023-10-01,Central West,1032,1032.00,0.00,0.00
2023-10-01,Darling Downs,9685,9685.00,0.00,0.00
2023-10-01,Gold Coast,8498,8498.00,0.00,0.00
2023-10-01,Mackay,7187,7188.75,1.75,0.02
2023-10-01,Metro North,14553,14553.00,0.00,0.00
2023-10-01,Metro South,29850,29850.00,0.00,0.00
2023-10-01,North West,702,747.25,45.25,6.06
2023-10-01,South West,942,942.00,0.00,0.00
2023-10-01,Sunshine Coast,11800,11800.25,0.25,0.00
2023-10-01,Torres and Cape,1054,1156.00,102.00,8.82
2023-10-01,Townsville,3082,3082.00,0.00,0.00
2023-10-01,West Moreton,8461,8616.50,155.50,1.80
2023-10-01,Wide Bay,11135,11135.00,0.00,0.00
2024-01-01,Cairns and Hinterland,8538,8538.00,0.00,0.00
2024-01-01,Central Queensland,8319,8319.00,0.00,0.00
2024-01-01,Central West,1045,1045.25,0.25,0.02
2024-01-01,Darling Downs,9276,9276.00,0.00,0.00
2024-01-01,Gold Coast,8924,8924.00,0.00,0.00
2024-01-01,Mackay,6877,6877.00,0.00,0.00
2024-01-01,Metro North,14865,14865.00,0.00,0.00
2024-01-01,Metro South,32274,32274.00,0.00,0.00
2024-01-01,North West,585,613.00,28.00,4.57
2024-01-01,South West,1039,1039.00,0.00,0.00
2024-01-01,Sunshine Coast,11828,11828.00,0.00,0.00
2024-01-01,Torres and Cape,1041,1149.25,108.25,9.42
2024-01-01,Townsville,3219,3219.00,0.00,0.00
2024-01-01,West Moreton,7983,7983.75,0.75,0.01
2024-01-01,Wide Bay,11174,11174.00,0.00,0.00
2024-04-01,Cairns and Hinterland,8619,8619.00,0.00,0.00
2024-04-01,Central Queensland,8170,8170.00,0.00,0.00
2024-04-01,Central West,984,984.25,0.25,0.03
2024-04-01,Darling Downs,10106,10106.00,0.00,0.00
2024-04-01,Gold Coast,9111,9111.00,0.00,0.00
2024-04-01,Mackay,6958,6958.00,0.00,0.00
2024-04-01,Metro North,16156,16156.00,0.00,0.00
2024-04-01,Metro South,30747,30747.00,0.00,0.00
2024-04-01,North West,554,555.75,1.75,0.31
2024-04-01,South West,1058,1058.00,0.00,0.00
2024-04-01,Sunshine Coast,12971,12971.50,0.50,0.00
2024-04-01,Torres and Cape,1076,1223.25,147.25,12.04
2024-04-01,Townsville,3405,3405.00,0.00,0.00
2024-04-01,West Moreton,9524,9734.25,210.25,2.16
2024-04-01,Wide Bay,11501,11501.00,0.00,0.00
2024-07-01,Cairns and Hinterland,8548,8548.25,0.25,0.00
2024-07-01,Central Queensland,7970,7970.00,0.00,0.00
2024-07-01,Central West,1020,1020.50,0.50,0.05
2024-07-01,Darling Downs,10190,10190.00,0.00,0.00
2024-07-01,Gold Coast,9576,9576.00,0.00,0.00
2024-07-01,Mackay,6286,6286.00,0.00,0.00
2024-07-01,Metro North,17927,17927.00,0.00,0.00
2024-07-01,Metro South,32072,32072.00,0.00,0.00
2024-07-01,North West,388,388.00,0.00,0.00
2024-07-01,South West,1096,1096.00,0.00,0.00
2024-07-01,Sunshine Coast,12339,12339.00,0.00,0.00
2024-07-01,Torres and Cape,829,948.75,119.75,12.62
2024-07-01,Townsville,3354,3354.00,0.00,0.00
2024-07-01,West Moreton,9226,9226.00,0.00,0.00
2024-07-01,Wide Bay,10803,10803.00,0.00,0.00
2024-10-01,Cairns and Hinterland,9252,9252.00,0.00,0.00
2024-10-01,Central Queensland,8593,8593.00,0.00,0.00
2024-10-01,Central West,1064,1064.75,0.75,0.07
2024-10-01,Darling Downs,10084,10084.00,0.00,0.00
2024-10-01,Gold Coast,10069,10069.00,0.00,0.00
2024-10-01,Mackay,6990,6990.00,0.00,0.00
2024-10-01,Metro North,20168,20168.00,0.00,0.00
2024-10-01,Metro South,31074,31074.00,0.00,0.00
2024-10-01,North West,446,446.00,0.00,0.00
2024-10-01,South West,1118,1118.00,0.00,0.00
2024-10-01,Sunshine Coast,11360,11360.00,0.00,0.00
2024-10-01,Torres and Cape,797,912.75,115.75,12.68
2024-10-01,Townsville,3457,3457.00,0.00,0.00
2024-10-01,West Moreton,10032,10119.75,87.75,0.87
2024-10-01,Wide Bay,11732,11732.00,0.00,0.00
2025-01-01,Cairns and Hinterland,9599,9599.00,0.00,0.00
2025-01-01,Central Queensland,8636,8636.00,0.00,0.00
