catchment,avg_waitlist,avg_general_waitlist
Metro South,33694,32120
Metro North,23514,17400
Sunshine Coast,13563,11903
Wide Bay,11295,10307
Cairns and Hinterland,11179,9716
Darling Downs,10412,9466
Gold Coast,10041,8991
West Moreton,10330,8963
Central Queensland,9128,8114
Mackay,7143,6682
Townsville,3457,3017
South West,1195,1095
Central West,927,869
Torres and Cape,972,864
North West,868,715
