quarter_start,waiting,treated,treatment_ratio,quarters_to_treat,months_to_treat
2023-07-01,111480,14153,0.127,7.874,23.62
2023-10-01,115549,10999,0.095,10.526,31.58
2024-01-01,117963,13689,0.116,8.621,25.86
2024-04-01,120340,12838,0.107,9.346,28.04
2024-07-01,121569,16738,0.138,7.246,21.74
2024-10-01,125407,11919,0.095,10.526,31.58
2025-01-01,129389,12319,0.095,10.526,31.58
2025-04-01,135530,10863,0.080,12.500,37.50
