quarter,catchment,catchment_waiting_total,catchment_treated_total,catchment_treatment_ratio,catchment_treatment_pct,months_to_treat,patients_cleared_in_24mo,patients_beyond_24mo,long_waiting_patients,exit_results,exit_interpretation
2024-04-01,Torres and Cape,1076,138,0.128,12.83,23,1123,-47,303,-350,within target
2024-04-01,Townsville,3405,352,0.103,10.34,29,2818,587,0,587,exits likely
2024-04-01,West Moreton,9524,270,0.028,2.83,107,2136,7388,841,6547,exits likely
2024-04-01,Wide Bay,11501,966,0.084,8.40,36,7667,3834,0,3834,exits likely
2024-07-01,Cairns and Hinterland,8548,1345,0.157,15.73,19,10797,-2249,1,-2250,within target
2024-07-01,Central Queensland,7970,1618,0.203,20.30,15,12752,-4782,0,-4782,within target
2024-07-01,Central West,1020,125,0.123,12.25,24,1020,0,2,-2,within target
2024-07-01,Darling Downs,10190,938,0.092,9.21,33,7411,2779,0,2779,exits likely
2024-07-01,Gold Coast,9576,1038,0.108,10.84,28,8208,1368,0,1368,exits likely
2024-07-01,Mackay,6286,2554,0.406,40.63,7,21552,-15266,0,-15266,within target
2024-07-01,Metro North,17927,1967,0.110,10.97,27,15935,1992,0,1992,exits likely
2024-07-01,Metro South,32072,3275,0.102,10.21,29,26542,5530,0,5530,exits likely
2024-07-01,North West,388,187,0.482,48.20,6,1552,-1164,0,-1164,within target
2024-07-01,South West,1096,352,0.321,32.12,9,2923,-1827,0,-1827,within target
2024-07-01,Sunshine Coast,12339,1166,0.094,9.45,32,9254,3085,0,3085,exits likely
2024-07-01,Torres and Cape,829,100,0.121,12.06,25,796,33,237,-204,retention — patients trapped
2024-07-01,Townsville,3354,404,0.120,12.05,25,3220,134,0,134,exits likely
2024-07-01,West Moreton,9226,985,0.107,10.68,28,7908,1318,0,1318,exits likely
2024-07-01,Wide Bay,10803,1769,0.164,16.38,18,14404,-3601,0,-3601,within target
2024-10-01,Cairns and Hinterland,9252,996,0.108,10.77,28,7930,1322,0,1322,exits likely
2024-10-01,Central Queensland,8593,1115,0.130,12.98,23,8967,-374,0,-374,within target
2024-10-01,Central West,1064,185,0.174,17.39,17,1502,-438,3,-441,within target
2024-10-01,Darling Downs,10084,757,0.075,7.51,40,6050,4034,0,4034,exits likely
2024-10-01,Gold Coast,10069,993,0.099,9.86,30,8055,2014,0,2014,exits likely
2024-10-01,Mackay,6990,1209,0.173,17.30,17,9868,-2878,0,-2878,within target
2024-10-01,Metro North,20168,477,0.024,2.37,125,3872,16296,0,16296,exits likely
2024-10-01,Metro South,31074,3200,0.103,10.30,29,25716,5358,0,5358,exits likely
2024-10-01,North West,446,19,0.043,4.26,70,153,293,0,293,exits likely
2024-10-01,South West,1118,302,0.270,27.01,11,2439,-1321,0,-1321,within target
2024-10-01,Sunshine Coast,11360,1564,0.138,13.77,22,12393,-1033,0,-1033,within target
2024-10-01,Torres and Cape,797,54,0.068,6.78,44,435,362,217,145,exits likely
2024-10-01,Townsville,3457,329,0.095,9.52,32,2593,864,0,864,exits likely
2024-10-01,West Moreton,10032,453,0.045,4.52,67,3594,6438,351,6087,exits likely
2024-10-01,Wide Bay,11732,773,0.066,6.59,45,6257,5475,0,5475,exits likely
2025-01-01,Cairns and Hinterland,9599,798,0.083,8.31,36,6399,3200,0,3200,exits likely
2025-01-01,Central Queensland,8636,1473,0.171,17.06,18,11515,-2879,0,-2879,within target
2025-01-01,Central West,1162,171,0.147,14.72,20,1394,-232,2,-234,within target
2025-01-01,Darling Downs,10346,597,0.058,5.77,52,4775,5571,0,5571,exits likely
2025-01-01,Gold Coast,10387,973,0.094,9.37,32,7790,2597,0,2597,exits likely
2025-01-01,Mackay,6506,1381,0.212,21.23,14,11153,-4647,0,-4647,within target
2025-01-01,Metro North,21169,811,0.038,3.83,79,6431,14738,0,14738,exits likely
2025-01-01,Metro South,33040,3011,0.091,9.11,33,24029,9011,0,9011,exits likely
2025-01-01,North West,492,60,0.122,12.20,25,472,20,0,20,exits likely
2025-01-01,South West,1230,410,0.333,33.33,9,3280,-2050,0,-2050,within target
2025-01-01,Sunshine Coast,11709,1080,0.092,9.22,33,8516,3193,0,3193,exits likely
2025-01-01,Torres and Cape,823,95,0.115,11.54,26,760,63,205,-142,retention — patients trapped
2025-01-01,Townsville,3477,461,0.133,13.26,23,3628,-151,0,-151,within target
2025-01-01,West Moreton,9953,312,0.031,3.13,97,2463,7490,376,7114,exits likely
